activity_uuid_product_uuid,activity_name,geography,reference_product_unit
4974cc92-cd19-5833-9b49-14db840d8461_f3a6095a-d689-5bcf-8bd9-6ae701313632,聚乙烯市场，高密度，颗粒，回收,欧洲除了瑞士,kg
49753f63-8b92-5f9a-ba36-c2b872a4540f_e90a4d0e-9dd1-4031-84ca-30edcb6049c6,邻苯二甲酰亚胺生产,欧洲,kg
497cdba0-b0f9-5b74-974e-279749ddeef7_a9007f10-7e39-4d50-8f4a-d6d03ce3d673,天然气，高压，CN进口,全球,m3
497d4b14-b992-5cd0-aa26-e842c7b03032_b153d366-7214-4fc5-ab10-2aa77ee8b715,熔炉生产，木屑，硬木储存区，300kW,世界其它,unit
49822960-b195-5c12-afe6-9e3ef2e864e1_6f2eb438-cde2-4d07-a770-d023a988a9c4,未经处理的废木材市场,巴西,kg
4983665f-447d-519a-b7fe-9a6d65e12140_71e2f1db-a2c5-44d0-8337-dfff15be974d,热量生产，来自森林的硬木片，炉子 1000kW，最先进的 2014,世界其它,MJ
49879601-0b25-56ec-a04a-b8b4c982e247_25e23c55-6dab-46aa-b147-d9a140919fb2,残留物市场，MSWI[F]-WWT[U]，来自卡车生产的 WW,瑞士,kg
498b5504-7023-5fb8-a850-b6afed7e7393_6a0bd6ed-8952-4f65-9117-b864669b9235,硼砂生产，无水，粉末,世界其它,kg
498eef63-e80a-5a98-a0c6-3d2d755d48f4_33bbc294-1d8e-46cf-acb8-2c8b409f685c,运输市场，货运，带制冷机的卡车，7.5-16 吨，EURO5，R134a 制冷剂，冷冻,全球,metric ton*km
499434c7-cf90-501d-8cae-da24cb018143_44defed2-3dc7-4d59-b3bc-23dacf1b9140,铝锭，初级，从欧洲其他地区进口,IAI区域，EU27和EFTA,kg
499998a2-aa5e-59f8-ac01-c5ed980ea2ca_f5707bdf-f7e2-479b-b3ea-99c04de8a927,氨水，无水，液体的营养供应,大洋洲,kg
499dfaa0-3670-589c-bfce-cb9cdfd6d53d_0d3eda5a-4601-4573-9549-0701c459ab88,硬煤，从俄罗斯进口,欧洲，除了俄罗斯和土耳其,kg
49a07599-ba9a-5550-a42c-f0651138ef5d_d69294d7-8d64-4915-a896-9996a014c410,电力市场，低压,冰岛,kWh
49a855b2-1d91-5d66-a0a1-f3be261ced70_d69294d7-8d64-4915-a896-9996a014c410,电力市场，低压,朝鲜，民主主义人民共和国,kWh
49acd82d-d80f-5102-925b-f714fcd2979f_09df7ca2-d6df-443a-b414-45dd2f22bb8d,光伏面板生产，多晶硅片,欧洲,m2
49acfc0f-4a77-5f2a-b755-cb1156bce787_bbe8bc6e-c638-4b6a-9cb7-4c5baae9f32d,芒果生产,世界其它,kg
49bc2973-119e-5442-b814-9ea35940eb05_d72638dc-71b8-4c4f-b5c7-72cbe6bdd145,建筑施工，大厅,世界其它,m2
49bc5fe2-038c-51e6-985e-6edf1c443ea4_775234b1-0e93-4cdb-9cd2-db60577e1a5a,太阳能集热系统安装、真空管集热器、独栋住宅、组合系统,瑞士,unit
49c10863-e36b-5eb2-927b-89968bc3766b_1f6c6d72-b328-4f8b-841b-5e0ecb494989,运输、管道、陆上、长距离、天然气,伊拉克,metric ton*km
49c14c7a-40af-5a68-ae97-da707d9bc59b_b3c58f5d-5815-487c-8b9c-4366e00d22dc,中央或小型天然气供热市场,欧洲除了瑞士,MJ
49cc7090-f10a-5c5f-a909-6e8764565807_66c93e71-f32b-4591-901c-55395db5c132,热电联产、石油,RFC公司负责北美电网,kWh
49cc7090-f10a-5c5f-a909-6e8764565807_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产、石油,RFC公司负责北美电网,MJ
49cd0756-542b-5a9d-89c5-4416a92970af_35aaa820-f658-46a1-bbef-01add21fec97,污水管网建设，4.7E10l/年，583 公里,世界其它,km
49cdc91b-38f2-5f06-9fb4-149e840e4914_9b9edcf3-0539-4642-9516-0df642a5c41a,皆伐，原始森林到耕地，多年生作物,"巴西,朗多尼亚",kg
49ce6044-452d-50bf-a7e1-4c9509c9ff95_22a64892-8f97-41bb-b3b3-e9e74f92b9f4,压缩空气储能厂建设，200兆瓦电,欧洲,unit
49d1c5cb-9583-5515-af20-ccf2180079bc_6f2eb438-cde2-4d07-a770-d023a988a9c4,废木料的处理，未经处理，露天堆放，超干旱渗透等级（-250mm）,全球,kg
49d2402d-60dc-534e-bfad-6e7530d97cc1_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、传统发电厂,印度拉贾斯坦邦,kWh
49d9f73c-6307-58c9-b9de-cba8e8055e85_d5aaf8f4-2ce9-436b-b0bc-59c1839281d0,汽车碎纸机残渣中的铝市场,瑞士,kg
49dd9acb-5017-577a-903c-6c674decf709_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力电压从高压到中压的转换,蒙古,kWh
49e4326f-2bdf-5f99-b99e-e9fc5da83a39_5d4272ad-9823-4d20-981a-d57f81cef653,"运输, 旅客列车, 城市",瑞士,person*km
49e78a7b-28e3-5eac-af4c-9154867feb65_ec23da1b-e5fa-4f01-bd2c-3233fece2175,水泥市场，未指定,欧洲除了瑞士,kg
49ec908a-66e4-543a-b7d5-518eece5416b_fb6d23d3-40b3-4175-939a-7b5f14a5f2e0,飞机市场，专用货运，短途,全球,unit
49f32f6f-a6d6-5586-933e-0e65454a8566_b2011f87-e037-4f68-8dec-6d8e6de4ae25,废混凝土碎石处理、分选厂,瑞士,kg
49f6c48c-c921-51ba-a9a9-5413948f5f21_d69294d7-8d64-4915-a896-9996a014c410,电力生产，光伏，570kWp 露天安装，多晶硅,联合王国,kWh
49f8549a-b734-5700-a2a6-1b8f273e7ff3_66c93e71-f32b-4591-901c-55395db5c132,电力生产，风力，>3MW 涡轮机，陆上,斯洛文尼亚,kWh
49fb9d07-f1df-55e5-a4bc-eab3a4c933de_69b3d58f-ddde-59c4-a78d-2ededd641aab,土地使用权市场，耕地，以碳净初级生产力衡量，森林，集约化,巴西巴拉那,kg
49fe60e2-672e-5442-8e29-a0f5e0f8b844_1d344632-354d-4d3f-9f6c-da038a3bd491,镁，用于海绵钛生产中的再利用，进入镁的通用市场,中国,kg
49ff719f-c638-5d00-9055-fda42484b54f_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，从荷兰进口,德国,kWh
4a050e2c-328e-5f44-abd5-585cb05d7e18_2cd1cdb7-e6f8-438c-bdfd-d9c81c319622,运输、货运、带制冷机的卡车、3.5-7.5 吨、EURO5、二氧化碳、液体制冷剂、冷却,全球,metric ton*km
4a09d3ce-39bc-54bf-8149-71dfa40e1ae9_7e9077e8-7bbc-44c4-9759-62526ff34d47,混凝土市场，20MPa,世界其它,m3
4a0aff75-65c3-5b2b-b823-ff4ed788059f_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，SK进口,波兰,kWh
4a0e3601-ab4b-5e4f-a5ab-209ea3f08a15_deacf25b-6aee-5105-893d-b78661769ca8,磷酸二铵生产,中国,kg
4a10921e-ef47-53f5-b5f0-6b4f51bcd7cb_7c0ab4ca-e778-44c1-a33d-c26466d32c1a,能源和辅助输入，金属加工机械，使用来自硬煤的过程热,欧洲,kg
4a1ab437-c3ce-5b22-ae98-e8243011bf05_a8589610-539f-422d-98ca-0bdfa21be469,选择性涂层市场，不锈钢板，黑铬,全球,m2
4a24f04e-4446-5375-830c-ab61deec250d_12b2f717-a83f-4848-91c5-9f081b030ae5,二乙醇胺市场,全球,kg
4a2544a6-3a2b-559f-921d-ec4e83cc69f5_66c93e71-f32b-4591-901c-55395db5c132,电力生产，褐煤,乌克兰,kWh
4a25d990-2edb-58a1-b5fe-bc4c6d81ef96_66c93e71-f32b-4591-901c-55395db5c132,电力市场，高压,毛里求斯,kWh
4a299834-7631-52c5-9163-c52caa450511_94e76ec7-dd3c-44f2-acec-8d6ec2907e75,光伏平屋顶安装，3kWp，单硅，屋顶,瑞士,unit
4a2e0534-6b20-5f1b-b6c6-fbae4eeaf7c1_71e2f1db-a2c5-44d0-8337-dfff15be974d,处理污水污泥、75% 水、WWT、GGBFS 生产产生的 WW、卫生填埋场,世界其它,MJ
4a2e0534-6b20-5f1b-b6c6-fbae4eeaf7c1_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,处理污水污泥、75% 水、WWT、GGBFS 生产产生的 WW、卫生填埋场,世界其它,kWh
4a2e0534-6b20-5f1b-b6c6-fbae4eeaf7c1_d17f6c59-6055-4901-beb7-40436acdc432,处理污水污泥、75% 水、WWT、GGBFS 生产产生的 WW、卫生填埋场,世界其它,kg
4a2e9e92-3753-5b52-8bd9-cb61336c1fb3_9b9edcf3-0539-4642-9516-0df642a5c41a,皆伐，原始森林到耕地，多年生作物,加纳,kg
4a316e5a-58a3-5c4d-a7c3-c9fa288b33b3_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,自来水生产、地下水消毒,"加拿大,魁北克",kg
4a35fa0c-790e-5aa9-baae-a5895b7661f9_15bffc4c-1799-4608-a982-1def4c1a8eb3,饲料甜菜市场，瑞士综合生产,全球,kg
4a364915-d646-53f5-a8b5-384e0ff6b5cc_7f28aedf-805b-4d2d-92e5-eb011b4f099e,油菜籽市场，用于播种,世界其它,kg
4a369111-48c2-55f5-b13d-dfd78d484e5e_a6f8b356-8096-4597-8d3a-0e8733d14c6a,"维修市场, 油轮, 用于石油",全球,unit
4a372dd8-7e4c-5742-b3a1-89a9568ce528_b2011f87-e037-4f68-8dec-6d8e6de4ae25,废混凝土碎石处理、分选厂,世界其它,kg
4a3c8784-cd9b-5db7-a121-4e78baf5b006_9d447e1a-a41a-43ac-b374-d0fc6dcb61df,液化石油气生产、炼油厂操作,欧洲除了瑞士,kg
4a44dc11-27ae-5672-9d0d-c38a4c623d60_019600be-f3ce-4399-9e31-19cdc087ed5f,定向刨花板生产,"加拿大,魁北克",m3
4a44dc11-27ae-5672-9d0d-c38a4c623d60_888353c6-711d-4ba3-95eb-0368b6592c66,定向刨花板生产,"加拿大,魁北克",m3
4a49beac-5038-5eb8-8eb1-bfa2e5ec7cc5_7c4dafff-fe18-45c0-92e4-857950032abb,无机钾肥市场，如 K2O,世界其它,kg
4a4e0275-57c3-5902-96a7-060b303ee192_66c93e71-f32b-4591-901c-55395db5c132,"电力生产, 硬煤",印度旁遮普,kWh
4a4ed83a-d35c-5913-aca8-327cada150a6_3990b197-a303-4c36-ae1c-c2ddebaad744,煤油市场,瑞士,kg
4a54a3aa-769f-5679-9238-12f8eb31367a_66c93e71-f32b-4591-901c-55395db5c132,发电、核能、沸水反应堆,中国台湾省,kWh
4a55b3e6-ecdf-5d00-9685-c40aa6aa0759_68982c18-158b-4166-a54a-8321bfb0cc24,石油蜡市场,全球,kg
4a565108-ca71-5795-b7fd-86efa2d6c0ce_66c93e71-f32b-4591-901c-55395db5c132,热电联产、石油,意大利,kWh
4a565108-ca71-5795-b7fd-86efa2d6c0ce_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产、石油,意大利,MJ
4a58eada-fda2-5e1c-998b-73183b2d3684_6f255afe-7bf4-455e-bdfb-dedf87d9c9cb,电子工业用焊料、棒材、Sn63Pb37 市场,全球,kg
4a5c451d-f26f-5a1e-837e-cb45aa43c9cc_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、传统发电厂,西部电力协调委员会，美国部分,kWh
4a5fc10a-f3e3-5c7c-8ea4-3b67a5b243aa_aa447135-9cc5-4f34-9385-ca2a0ae70d3c,刨、板、软木，u=20%,瑞士,kg
4a5fc10a-f3e3-5c7c-8ea4-3b67a5b243aa_fcbf6c72-3a99-453b-b384-658e3423b0dc,刨、板、软木，u=20%,瑞士,m3
4a71260a-8c23-56f4-8bb0-dbf7f964b478_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,机械处理、阴极射线管显示器、城市垃圾焚烧的残渣处理,世界其它,MJ
4a71260a-8c23-56f4-8bb0-dbf7f964b478_5c3a4e48-3c94-4a4c-b015-5eba53ccb96e,机械处理、阴极射线管显示器、城市垃圾焚烧的残渣处理,世界其它,kg
4a71260a-8c23-56f4-8bb0-dbf7f964b478_637ee275-a239-4dcb-b084-abfa110dd65b,机械处理、阴极射线管显示器、城市垃圾焚烧的残渣处理,世界其它,kWh
4a7201e0-c924-5ac8-8f47-2c784fb453ff_7785d094-3029-46c4-a592-a639174858df,滑翔机、乘用车市场,全球,kg
4a758d64-b653-54c4-bca2-87271c3bc814_6e316c64-0481-4832-b097-296e14c0b02f,铬铁生产，高碳，68% Cr,世界其它,kg
4a77f9dd-e3e6-5dc2-8b0b-96df75289fbd_c6efcb32-7437-44c1-bcea-2b6e57ed18ee,玉米秸秆及整株的烘干,世界其它,l
4a7d3a79-05f3-5686-b93e-8aca5dc405c4_34410c01-8363-41bf-afcf-5b341c6fee1f,通过车削去除黄铜的市场，主要是修整，计算机数控,全球,kg
4a83718e-8c71-5a05-86e2-1a7a4d57cc0b_66c93e71-f32b-4591-901c-55395db5c132,电力生产，天然气，10MW,世界其它,kWh
4a83ff15-be79-581e-9e11-f0773d7f7194_86d59436-2abf-401a-a06a-540dda3392e0,矿山建设，蛭石,南非,unit
4a84d1a2-a2d6-539a-b109-dc673b036cda_2a49d197-0efb-46ab-a6a7-d22cc5b93350,纤维水泥面砖市场，小规格,全球,kg
4a9202be-d88c-5a34-bfc2-e87ef29e52c0_76ab0018-e176-43e0-b42c-12e82b937fef,水泥生产，CEM II/A,世界其它,kg
4a9202be-d88c-5a34-bfc2-e87ef29e52c0_7a439ec7-1840-4c4f-983f-1f07eda2053f,水泥生产，CEM II/A,世界其它,kg
4a9529c9-a537-5774-9689-50adfc0f3f8f_1f82a4fc-f292-4854-90f1-3621a9997ba3,污泥市场，氯化钠电解,全球,kg
4a9ccee5-7de5-5376-b55e-e01b986ff5de_6a41c54d-8b6a-5e4d-b8b2-bf56fb7a1a21,碳酸钡市场,全球,kg
4a9eb5c9-5bd1-5884-b0a4-862e06bde6bd_d69294d7-8d64-4915-a896-9996a014c410,电力市场，低压,中国-东北电网,kWh
4a9f6e5a-3f72-5a14-9fef-ffdf851f0240_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,处理污水污泥，70% 的水，WWT，来自胶合板生产的 WW，市政焚烧,全球,MJ
4a9f6e5a-3f72-5a14-9fef-ffdf851f0240_625e0d1c-b245-410c-83bd-74e6b81cf7df,处理污水污泥，70% 的水，WWT，来自胶合板生产的 WW，市政焚烧,全球,kg
4a9f6e5a-3f72-5a14-9fef-ffdf851f0240_637ee275-a239-4dcb-b084-abfa110dd65b,处理污水污泥，70% 的水，WWT，来自胶合板生产的 WW，市政焚烧,全球,kWh
4aa4ecde-4132-5ff5-aa7e-6d9b58b13f5d_7933f397-3db0-4aa1-abb0-5386ae0393d6,庚烷市场,全球,kg
4aa51074-2e85-5da2-a02e-dcbebf63de0e_5bf224ae-3af5-4eb2-9493-330c16472ca2,废弃聚乙烯/聚丙烯产品的处理，收集以进行最终处置,瑞士,kg
4aa756ec-1c8e-5ea9-9d83-4c4ba738567a_4ad5078c-3f14-440a-b9d6-b44ff0faec60,硫酸铝市场，无水，4.33% 铝溶液状态,全球,kg
4aa79c34-1d00-5e9e-bc45-5a1b816e2411_6ada853f-7787-4880-b159-826651fadee5,硬煤烟气脱硫,欧洲,kg
4aa92487-3a36-5e96-9def-3e143db23664_66c93e71-f32b-4591-901c-55395db5c132,热电联产，木片，6667 kW，最先进的 2014,SERC公司，负责北美电网,kWh
4aa92487-3a36-5e96-9def-3e143db23664_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产，木片，6667 kW，最先进的 2014,SERC公司，负责北美电网,MJ
4aabd7b3-6a6b-5455-96ac-b6f84a85d986_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力市场，中压,苏丹,kWh
4ab0f939-1b6c-54f2-92f2-8f0775babf04_a7da3e3d-12a6-4e17-944d-8261d33025ab,硬石膏石市场,世界其它,kg
4abd3403-ec80-5570-9e6f-f4932063b150_1c819f15-1202-4fa9-8ef9-72196c2dfb85,苹果生产,世界其它,kg
4abd5c67-7485-5046-9799-c08b48200e7b_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,废橡胶的处理，未指定，市政焚烧,欧洲除了瑞士,MJ
4abd5c67-7485-5046-9799-c08b48200e7b_637ee275-a239-4dcb-b084-abfa110dd65b,废橡胶的处理，未指定，市政焚烧,欧洲除了瑞士,kWh
4abd5c67-7485-5046-9799-c08b48200e7b_7513d2f5-d7ee-497b-971b-a5ad34ab5c83,废橡胶的处理，未指定，市政焚烧,欧洲除了瑞士,kg
4ac09edd-de33-5de1-8393-4e7a6e638ce7_66c93e71-f32b-4591-901c-55395db5c132,电力市场，高压,乌拉圭,kWh
4ac174be-4b0a-599a-87b2-f192dd8c9bd9_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力电压从高压到中压的转换,阿拉伯叙利亚共和国,kWh
4ac2addb-62fa-517f-a0e5-eacaa0f21e24_c63b53d7-ad85-4b20-9057-cba8d36205ed,飞机生产，腹式货运飞机，短途,全球,unit
4ac3c779-1c45-504e-a186-4ecabd89c454_1d53b5b2-8bd1-4936-8a5b-a130bf812db0,卫生陶瓷生产,瑞士,kg
4ac7ed66-9b53-5236-aa29-3be28cabdb04_a18bcfed-b25b-45b7-853f-eb1b3191f439,四氯化碳市场,世界其它,kg
4ac87a3e-1094-5005-9425-8c4ab927c482_0451c9ba-5f09-4e23-a8b4-3d7ee441a6fc,高炉污泥处理、余料填埋,瑞士,kg
4ac8bb01-49ae-5f92-b0cb-677b1bf55762_d13ae29b-7d6a-55d2-8380-86343a80fed8,废聚对苯二甲酸乙二醇酯市场，用于回收，未分类,欧洲除了瑞士,kg
4ad5c6de-8bbf-5cc3-bc13-8570110b23fe_2cc3429c-8ff1-419f-9ce2-0e16b9e58ce4,废竹渣处理，露天焚烧,全球,kg
4ad736f6-a87e-5f64-b87f-4f602c673f2e_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b,热生产，轻质燃料油，锅炉 10kW，非调制,瑞士,MJ
4ad786c0-f5d0-51e5-9b6d-759c1d398b16_62d5ea7c-fa1a-4977-abd0-e7906e874016,荧光增白剂生产，用于造纸,欧洲,kg
4ad8630d-633b-5f36-9a98-26635aa84de7_d454e221-5f08-4259-b46b-31d0dbe595d1,水泥砂浆市场,印度,kg
4ad8ac42-f5d9-5d6b-8210-ed029d52ffee_714c2889-268d-46f0-8f34-3e45255642ab,用过的门、内部、玻璃木的处理，收集进行最终处置,瑞士,m2
4ad90f74-4f2c-56c5-82bc-77478b202475_36d054aa-1fc1-46a5-9267-1575039b651b,水泵操作，柴油,马来西亚,MJ
4adc28e6-75f5-501f-8b70-38b37a75b738_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,已经使用的土地，多年生农田到一年生作物,美国,kg
4ae09c87-bc8f-5b75-8591-0054145c3bcc_75edc073-be76-5bc1-82a1-7be1ce500aaa,土地利用变化市场，森林，集约化,巴西，S?o保罗,ha
4ae5cb8c-4f89-5e76-8d7b-1f9acda3ecf0_d661a7da-bd43-43e9-8311-da1ff4505cf6,电池生产，锂离子，NCA,世界其它,kg
4ae7ca82-3c09-5844-b559-35f0ed0d24e7_7ee0ddc3-924d-4339-b9bf-7856af6a698f,废聚乙烯市场,塞尔维亚,kg
4aeb164d-6840-5948-84cc-897b90c73334_2dd9af9e-cc2a-4a62-bed8-f66f227b819e,电解氯化镁，来自海绵铪生产,美国,kg
4aeb164d-6840-5948-84cc-897b90c73334_de0844f7-1fab-44b5-8d77-2a608f26fcc0,电解氯化镁，来自海绵铪生产,美国,kg
4aecdd6c-82a3-5dda-b86e-dca569ad3d9e_76ab0018-e176-43e0-b42c-12e82b937fef,混凝土生产，30-32MPa，水泥，波特兰,北美(不含魁北克),kg
4aecdd6c-82a3-5dda-b86e-dca569ad3d9e_e24020e6-18f0-48b4-bd1c-01e875da42e9,混凝土生产，30-32MPa，水泥，波特兰,北美(不含魁北克),m3
4aee29b2-0fbb-5c85-b36c-9c2cb74928e2_09e83e96-9e71-422d-812b-631387b22a20,聚氟乙烯生产、分散,世界其它,kg
4aeecd24-53bc-5e4a-9d10-bb7d315af69f_11290f67-05de-4e87-b58c-3d36392d9f22,2-甲基戊烷市场,全球,kg
4af78e7d-0bc6-59dc-85b4-7ec2dde719df_66c93e71-f32b-4591-901c-55395db5c132,电力、高压市场组,加拿大,kWh
4af9de7e-b57c-55d2-a5c6-340c69d3b0b5_7b9793d7-a5c9-4a18-8100-ee52d7ce51c3,聚苯乙烯废料市场，消费后,全球,kg
4afbb2d3-8173-59f3-9ff3-d32b96757609_c91eabe2-800b-48a3-9bc3-c46bbcfbdd5f,运输市场，乘用车，小型，天然气，5 欧元,全球,km
4afbbde4-b545-57e8-af6d-60a202d52e24_66c93e71-f32b-4591-901c-55395db5c132,热电联产，褐煤,塞尔维亚,kWh
4afbbde4-b545-57e8-af6d-60a202d52e24_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产，褐煤,塞尔维亚,MJ
4afd8517-5f7f-56e9-8c05-cb81e837d990_cca72f1b-007e-445f-8403-7c87ed6b5d62,平板太阳能集热器市场，铜吸收器,全球,m2
4b008e2b-5cfb-55fe-a119-6dc468bdfd7a_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，从 RU 进口,立陶宛,kWh
4b084e72-7771-5343-8e10-e44d41b027b1_d69294d7-8d64-4915-a896-9996a014c410,电力市场，低压,摩洛哥,kWh
4b0cff25-52d9-5346-a90e-f955651be96c_66c93e71-f32b-4591-901c-55395db5c132,发电、风力、1-3MW 涡轮机、陆上,印度卡纳塔克邦,kWh
4b0da3ce-54f6-5a73-824d-822ceca1ee27_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，从RAS进口,越南,kWh
4b105969-cbba-55ba-8e2b-b9c8da03a3d5_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,已经使用的土地，一年生农田到一年生作物,澳大利亚,kg
4b10ac97-06b1-5d4c-b26e-476fb20143ee_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、联合循环发电厂,中国，江苏(江苏),kWh
4b121bbc-5e7f-5686-876e-56801bb10b5e_b3c58f5d-5815-487c-8b9c-4366e00d22dc,天然气，在微型燃气轮机中燃烧，100kWe,世界其它,MJ
4b12af0d-464a-559e-bf53-162a337db3d1_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,土地保有权市场，耕地，以碳净初级生产力衡量，一年生作物,澳大利亚,kg
4b137653-4fd0-5d55-8204-1418952c1b6b_6205fbc0-d3ad-46e2-9426-09c6293c417c,板材和壁板，软木，湿的，按干质量测量，以用于剩余软木的通用市场，湿的,欧洲除了瑞士,m3
4b1a7e22-f842-5d0b-a4f5-df06433e40ab_0ace02fa-eca5-482d-a829-c18e46a52db4,运输市场，货运列车,南非,metric ton*km
4b1f555d-494f-5ebd-ae9c-196403f827cc_0798a5d1-6713-4c82-8ec9-c40ac2548279,玻璃纤维增强塑料、聚酰胺、注塑成型市场,全球,kg
4b209b3a-1ec2-5d28-b13a-cf3ff782763f_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5,硫化物尾矿市场，来自铜矿运营,印尼,kg
4b20d8bd-f945-585e-924b-38507a981b71_d69294d7-8d64-4915-a896-9996a014c410,电力生产，光伏，570kWp 露天安装，多晶硅,中国，重庆(重庆),kWh
4b22407a-84d2-5090-b7ac-ee7d8fbcde6e_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b,热生产，来自森林的硬木片，炉子 50kW，最先进的 2014,世界其它,MJ
4b2241b5-412f-50f3-9383-0d5925dd4dd7_cfc90fee-20f0-451a-8e50-a5bd859d3feb,水市场，完全软化,美国,kg
4b22fd29-dbed-56b9-8d4d-754423608ad8_4cdd8521-4a4a-4e2b-a7de-aafc3dcdb0d1,膨润土采石场作业,德国,kg
4b2344b8-d5be-56e3-995b-a684b4ac08b2_0b6f10dc-7e07-4eba-96bc-9fe0c7e634a4,接收器系统建设，太阳能塔式发电厂，20 MW,世界其它,unit
4b278b89-40b5-5c5b-8e30-a7928f4744a9_960bec1c-d3f1-496a-86d8-f8168245e465,集材市场,全球,unit
4b290dce-fd74-5f02-a7fe-e8b2431cf4ed_93d5bc32-a832-4ac1-960a-6705cdfaddc2,运输，乘用车，小型，天然气，3 欧元,欧洲,km
4b29923d-47b9-57f6-b8c0-1cf5640124d2_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，从UA进口,罗马尼亚,kWh
4b34a070-60e8-5d2c-8422-cbc9403b02fc_637ee275-a239-4dcb-b084-abfa110dd65b,电力市场，仅用于城市垃圾焚烧再利用,Czechia,kWh
4b401075-9bd9-5846-a99d-b809957114b8_291fc06d-1b3e-4077-aabb-346b588ed24b,柴油，从 RoW 进口,秘鲁,kg
4b418d18-56ca-5b9b-a921-d6bbd12e527e_a9007f10-7e39-4d50-8f4a-d6d03ce3d673,天然气，高压，QA进口,其他欧洲国家,m3
4b42de95-6dff-5239-bc09-83c29322db9a_3f5f5aef-3833-43d4-8b81-44123105afd7,灌溉、滴灌,秘鲁,m3
4b45054b-cdd1-5aec-ac76-59713c9df953_f372d4c2-7310-4fb9-8bb6-bee214fd08d1,土地利用变化市场，多年生作物,哥伦比亚,ha
4b4cc4e2-e07c-52c0-966f-a0baee7f7086_7a2ec781-6849-4167-8a9a-3e1221f3f543,钢的冲击挤压，温热，4 冲程,欧洲,kg
4b4f084f-f399-56a8-8574-aea4502f17d7_817c3650-4fed-4ef2-b9b6-404a198834e6,钢铁生产，电力，低合金,印度,kg
4b5072a6-16d4-5f4f-8aff-c8af4023f6d2_27064b22-328b-4578-9739-933b87b94abb,轻质混凝土砌块生产，聚苯乙烯,瑞士,kg
4b5701ff-1f76-519c-98e6-8d39009c22e3_c38bc109-9347-463e-b539-2833c7c066d8,甲酸钠生产,全球,kg
4b570ed7-401e-562f-8467-c37476e620f4_d69294d7-8d64-4915-a896-9996a014c410,电力生产，光伏，3kWp 倾斜屋顶安装，单硅，面板，安装,沙特阿拉伯,kWh
4b5924d4-35e2-54ed-8984-b04c8ffddbe6_7d38f12e-e109-4cdf-8100-1b985a44cff2,操作、计算机、笔记本电脑、23% 的积极工作,欧洲除了瑞士,hour
4b60be3a-dce7-55d3-8354-f7191e124c5d_69b2236c-0085-4805-a883-619fc4188437,环氧乙烷生产中的废催化剂碱市场,全球,kg
4b61841c-3a38-583f-b54f-7b03e033c4a4_038ddb3a-1e4b-45f3-bcb9-5e37a69f42b0,磨细粒化高炉矿渣生产,印度,kg
4b648198-a737-5fa6-a881-c6daa39cf647_ab174bb8-0dd0-4d99-8e15-dd786894f664,维护，微型燃气轮机，100kW 电,世界其它,unit
4b64ecd7-3086-5ea8-99c4-0f9c0b0d59a3_5220eeec-91ed-43ee-99f0-3b29708705e2,三氟乙酸市场,世界其它,kg
4b6810ff-4af3-5409-80cd-39548d47d499_bc029dc2-d952-4f61-970b-193afe897d18,联氨生产,世界其它,kg
4b6a8e4c-7ba5-5f8a-9350-4443f89d6fba_a769b2aa-bc38-5d86-b813-d0d1d9e3666c,有机棉籽市场,印度,kg
4b6c0751-da57-5332-bb98-f834f9f374ae_66c93e71-f32b-4591-901c-55395db5c132,电力生产、核能、压水反应堆,日本,kWh
4b75a020-d4fc-5dd0-a5f3-e850cc883a49_b7b72951-a57c-4364-9b49-ea3c7cb03d00,1-丙醇生产,世界其它,kg
4b779e57-6a1c-5661-92b1-3eacb495ccee_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,处理污水污泥、70% 的水、WWT、中密度板生产产生的 WW、市政焚烧,世界其它,MJ
4b779e57-6a1c-5661-92b1-3eacb495ccee_637ee275-a239-4dcb-b084-abfa110dd65b,处理污水污泥、70% 的水、WWT、中密度板生产产生的 WW、市政焚烧,世界其它,kWh
